year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM
2014,61,1,1012014,10,1,I,T,2,MISD,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,871,871,N,N, , , ,M,B,12311900,50,5,9,230,BK,BR,M, ,L, , ,PLATFORM, , ,MC DONALD AVENUE,AVENUE P, ,BROOKLYN, , ,61,M,3, ,991748,161085,CM,1,20
2014,101,1,1012014,20,1,O,P,6,FEL,10,P,Y,N,Y,RESISTING,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,101,101,Y,N, , ,SW,M,P,12311900,31,6,0,215,BA,BR,M, ,L, , ,SIDEWALK, , ,MOTT AVENUE,BEACH 22 STREET, ,QUEENS, , ,101,D, , ,1052559,159711,CM,1,20
2014,79,42,1012014,30,A,O,P,1,CPW,5,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,79,79,N,N, , , ,M,B,12311900,20,5,5,160,BK,BK,T, ,L, , ,STREET, , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,BROOKLYN, , ,79,D,11, ,999365,191140,CM,1,20
2014,79,9,1012014,30,A,O,P,1,FELONY,3,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,79,79,Y,Y, , , ,M,B,12311900,26,5,9,150,BK,BR,M, ,L, , ,STREET,176,KOSCIUSZKO STREET,TOMPKINS AVENUE,MARCY AVENUE, ,BROOKLYN, , ,79,D,11, ,998797,191051,CM,1,20
2014,79,3,1012014,30,A,O,P,1,MISD,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,79,79,N,N, , , ,M,B,12311900,27,5,11,160,BR,BR,M, ,L, , , , , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,BROOKLYN, , ,79,D,11, ,999365,191140,CM,1,9
2014,79,4,1012014,30,A,O,P,1,MISD,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,79,79,N,N, , , ,M,B,12311900,27,5,11,170,BR,BR,M, ,L, , ,STREET, , ,KOSCIUSZKO STREET,TOMPKINS AVENUE, ,BROOKLYN, , ,79,D,11, ,999365,191140,CM,1,9
2014,41,5,1012014,43,A,I,P,1,CPW,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,163,163,N,N, , , ,M,Q,12311900,17,5,8,165,BK,BR,T, ,L, , ,RESIDENTIAL,894,ROGERS PLACE,EAST 163 STREET,DAWSON STREET, ,BRONX, , ,41,F,62, ,1012520,238247,CM,1,20
2014,46,2,1012014,45,A,O,P,1,CPW,3,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,46,46,N,N, , , ,M,B,12311900,35,6,1,190,BK,BR,M, ,L, , ,SIDEWALK, , ,MORRIS AVENUE,EAST 184 STREET, ,BRONX, , ,46,H,4, ,1011694,252606,CM,1,20
2014,120,10,1012014,50,A,O,P,1,CPW,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,120,120,Y,N, , , ,M,B,12311900,17,5,7,160,BK,BR,T, ,L, , ,STREET, , ,BOWEN STREET,SOBEL COURT, ,STATEN ISLAND, , ,120,B, , ,961045,162903,CM,1,20
2014,88,1,1012014,55,1,O,H,3,CPW,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,88,88,N,N,V,S, ,M,B,12311900,51,5,9,180,BK,BR,M, ,L, , ,SIDEWALK,135,WASHINGTON WALK,MYRTLE AVENUE,PARK AVENUE, ,BROOKLYN, , ,88,J, , ,991364,192001,CM,1,20
2014,76,1,1012014,100,1,O,P,10,FEL,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,76,76,Y,N,V,S, ,M,B,12311900,24,5,8,170,BK,BK,M, ,L, , ,SIDEWALK, , ,WARREN STREET,HOYT STREET, ,BROOKLYN, , ,76,G,2, ,987265,188691,CM,1,85
2014,81,2,1012014,115,1,O,P,3,ASSAULT,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,81,81,N,N, , , ,M,B,12311900,31,5,9,250,BK,BR,M, ,L, , ,STREET, , ,BROADWAY,KOSCIUSZKO STREET, ,BROOKLYN, , ,81,B,2, ,1004038,191851,CM,1,9
2014,79,12,1012014,120,A,O,P,1,FELONY,2,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,79,79,Y,N, , , ,M,B,12311900,28,5,4,150,BK,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,BROOKLYN, , ,79,C,8, ,1001181,189778,CM,1,20
2014,79,11,1012014,120,A,O,P,1,FELONY,2,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,79,79,Y,N, , , ,M,B,12311900,31,5,10,170,BK,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,BROOKLYN, , ,79,C,8, ,1001181,189778,CM,1,20
2014,79,10,1012014,125,A,O,P,1,FELONY,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,79,79,Y,N, , , ,F,B,12311900,23,5,7,160,BR,BR,M, ,L, , ,STREET, , ,GATES AVENUE,MARCUS GARVEY BOULEVARD, ,BROOKLYN, , ,79,C,8, ,1001181,189778,CM,1,20
2014,106,1,1012014,125,A,O,P,2,FELONY,1,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,106,106,Y,N, , , ,M,A,12311900,21,5,8,120,BR,BR,T, ,L, , ,STREET, , ,128 STREET,LIBERTY AVENUE, ,QUEENS, , ,106,G, , ,1034983,190348,CM,1,20
2014,79,18,1012014,130,A,I,P,2,FELONY,2,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,79,79,Y,N, , , ,M,B,12311900,17,5,10,190,BR,BR,T, ,L, , ,HALLWAY,415,LAFAYETTE AVENUE,FRANKLIN AVENUE,CLASSON AVENUE, ,BROOKLYN, , ,79,P,9, ,995704,190315,CM,1,20
2014,44,3,1012014,130,A,O,P,1,CPW,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,44,44,Y,Y, , , ,M,P,12311900,19,5,10,175,BK,BR,M, ,L, , ,STREET,1400,MORRIS AVENUE,EAST 171 STREET,EAST 170 STREET, ,BRONX, , ,44,R, ,46,1008799,244608,CM,1,20
2014,44,1,1012014,130,A,O,P,1,CPW,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,44,44,Y,N, , , ,M,Q,12311900,18,5,11,140,BK,BR,M, ,L, , ,STREET,1400,MORRIS AVENUE,EAST 171 STREET,EAST 170 STREET, ,BRONX, , ,44,R, ,46,1008799,244608,CM,1,20
2014,120,8,1012014,145,A,O,P,1,CPW,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,120,120,N,N,V,S, ,M,B,12311900,27,5,10,190,BK,BR,M, ,L, , ,SIDEWALK,514,TARGEE STREET,CLIFFSIDE AVENUE,VANDERBILT AVENUE, ,STATEN ISLAND, , ,120,B, ,2,960727,163210,CM,1,20
2014,120,93,1012014,145,A,O,P,1,BURGLARY,5,V,Y,N,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,120,120,N,N,V,S, ,M,Q,12311900,13,5,10,145,BR,BR,T, ,L, , ,STREET, , ,CASTLETON AVENUE,NORTH BURGHER AVENUE, ,STATEN ISLAND, , ,120,J, , ,952460,170558,CM,1,14
2014,42,1,1012014,154,1,I,H,1,CPM (MISD),1,P,Y,N,Y,CPM,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,826,826,N,N, , , ,M,B,12311900,30,6,5,220,BK,BR,T, ,L, , ,LOBBY,1458,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET, ,BRONX, , ,42,B, , ,1010098,244419,CM,1,29
2014,41,14,1012014,155,A,O,P,1,ASSAULT,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,41,41,Y,N, , , ,M,B,12311900,34,5,10,190,BK,BR,M, ,L, , ,STREET, , ,DAWSON STREET,ROGERS PLACE, ,BRONX, , ,41,F,62, ,1012513,237861,CM,1,9
